,tag,ct,cotag,cotag_u
0,1,3536,6766,335
1,2,889,2107,198
2,3,116,289,105
3,4,8823,20193,534
4,5,1060,2726,303
5,6,3404,9255,367
6,7,2019,5383,235
7,8,242,690,194
8,9,7710,14892,508
9,10,5030,14017,619
10,11,86,203,36
11,12,1173,2640,227
12,13,6046,13610,428
13,14,49,121,48
14,15,480,1292,198
15,16,2136,5225,325
16,17,28,33,23
17,18,776,2011,322
18,19,203,515,139
19,20,495,1297,194
20,21,23,64,20
21,22,31,74,39
22,23,598,1558,219
23,24,69,183,62
24,25,8695,17388,486
25,26,194,539,105
26,27,7134,14831,502
27,28,2179,5130,254
28,29,305,888,127
29,30,92,247,94
30,31,159,382,100
31,32,260,659,143
32,33,110,283,86
33,34,994,2626,297
34,35,203,523,136
35,36,1168,3121,295
36,37,351,705,162
37,38,79,193,72
38,39,193,334,126
39,40,11,24,17
40,41,977,2532,252
41,42,1060,2572,314
42,43,606,1593,192
43,44,628,1508,226
44,45,513,1140,141
45,46,583,1560,229
46,47,18,34,20
47,48,205,492,58
48,49,1463,2648,291
49,50,547,1129,150
50,51,1372,3602,282
51,52,755,1929,166
52,53,287,765,172
53,54,148,381,89
54,55,4,9,6
55,56,411,979,137
56,57,154,409,121
57,58,245,593,109
58,59,45,127,49
59,60,31,81,48
60,61,4888,13282,594
61,62,222,473,92
62,63,368,913,191
63,64,24,52,25
64,65,52,134,62
65,66,264,704,65
66,67,2601,6865,449
67,68,224,556,118
68,69,1408,3331,273
69,70,268,708,158
70,71,347,992,169
71,72,126,343,85
72,73,72,237,37
73,74,404,1102,199
74,75,488,1281,273
75,76,2,3,2
76,77,300,828,151
77,78,77,179,77
78,79,27,62,28
79,80,661,1582,273
80,81,66,142,36
81,82,274,406,142
82,83,147,362,78
83,84,2416,5016,341
84,85,66,146,46
85,86,41,103,39
86,87,64,159,52
87,88,680,1482,204
88,89,160,433,120
89,90,647,1842,328
90,91,215,545,133
91,92,1343,3582,275
92,93,365,912,103
93,94,482,1312,203
94,95,833,2053,267
95,96,3,8,5
96,97,275,676,108
97,98,474,1208,209
98,99,497,1184,133
99,100,43,111,62
100,101,126,368,68
101,102,501,957,173
102,103,320,938,177
103,104,203,504,108
104,105,2,5,4
105,106,78,179,67
106,107,503,1332,175
107,108,377,1029,187
108,109,760,1618,139
109,110,181,422,124
110,111,141,439,113
111,112,231,591,148
112,113,35,101,54
113,114,216,560,156
114,115,18,61,31
115,116,512,1368,233
116,117,269,700,139
117,118,127,308,71
118,119,699,1658,183
119,120,295,487,150
120,121,93,217,70
121,122,76,171,37
122,123,257,700,145
123,124,290,753,110
124,125,106,239,55
125,126,562,1494,245
126,127,328,933,134
127,128,26,56,23
128,129,549,1389,126
129,130,137,393,60
130,131,10,27,17
131,132,374,1059,243
132,133,102,210,72
133,134,217,596,162
134,135,1449,4097,298
135,136,165,470,78
136,137,267,727,134
137,138,680,1831,204
138,139,22,39,22
139,140,63,167,55
140,141,170,342,100
141,142,303,880,173
142,143,127,354,85
143,144,217,584,159
144,145,166,522,122
145,146,9,24,18
146,147,80,236,41
147,148,17,43,15
148,149,331,826,124
