,tag,ct,cotag,cotag_u
0,1,112,209,42
1,2,840,1433,101
2,3,417,622,66
3,4,282,411,97
4,5,4879,9475,211
5,6,1281,1811,141
6,7,68,122,50
7,8,67,104,44
8,9,385,414,69
9,10,130,207,44
10,11,151,213,54
11,12,189,254,62
12,13,94,104,52
13,14,112,160,48
14,15,1888,3385,124
15,16,802,1523,105
16,17,441,633,98
17,18,56,74,22
18,19,2633,5379,170
19,20,3249,6036,179
20,21,4416,7585,207
21,22,3501,6386,182
22,23,2101,3199,169
23,24,91,193,59
24,25,925,1485,135
25,26,217,436,73
26,27,5315,7080,192
27,28,269,555,91
28,29,841,1532,114
29,30,1646,3434,153
30,31,710,1411,115
31,32,94,167,42
32,33,1266,1929,159
33,34,151,282,65
34,35,62,129,20
35,36,1935,2848,152
36,37,822,1450,135
37,38,1189,2250,161
38,39,208,355,64
39,40,106,183,49
40,41,39,38,18
41,42,861,1513,129
42,43,321,558,63
43,44,1070,2323,109
44,45,863,1400,127
45,46,2231,3725,148
46,47,710,1381,126
47,48,67,142,43
48,49,1689,3274,166
49,50,716,1259,116
50,51,164,282,75
51,52,1342,2825,124
52,53,308,447,74
53,54,3996,6930,206
54,55,255,475,88
55,56,71,160,59
56,57,355,534,90
57,58,135,255,53
58,59,177,334,41
59,60,2658,5443,190
60,61,803,1585,148
61,62,13,24,15
62,63,69,109,30
63,64,29,46,25
64,65,869,1144,99
65,66,218,348,62
66,67,100,146,51
67,68,65,91,35
68,69,24,31,19
69,70,1561,2728,176
70,71,5403,8980,218
71,72,402,732,62
72,73,404,841,92
73,74,1224,1680,139
74,75,141,250,51
75,76,27,44,23
76,77,372,577,80
77,78,634,1334,109
78,79,367,515,81
79,80,21,38,18
80,81,172,388,45
81,82,651,1398,111
82,83,575,1029,95
83,84,76,157,50
84,85,269,531,76
85,86,171,353,77
86,87,35,53,13
87,88,93,185,46
88,89,999,1668,149
89,90,166,333,70
90,91,438,553,91
91,92,44,73,18
92,93,103,177,56
93,94,154,345,62
94,95,187,348,82
95,96,523,940,93
96,97,48,74,32
97,98,270,573,81
98,99,14,19,18
99,100,172,251,55
100,101,127,247,67
101,102,398,647,80
102,103,115,213,54
103,104,199,437,64
104,105,39,75,26
105,106,495,990,93
106,107,252,468,90
107,108,187,340,78
108,109,24,30,12
109,110,500,924,79
110,111,42,61,22
111,112,73,154,53
112,113,528,1021,108
113,114,185,354,49
114,115,91,137,34
115,116,75,137,33
116,117,452,606,68
117,118,100,157,38
118,119,57,80,32
119,120,57,111,26
120,121,40,59,24
121,122,121,235,49
122,123,126,259,46
123,124,74,113,22
124,125,381,517,82
125,126,438,881,96
126,127,340,664,46
127,128,23,41,26
128,129,78,164,34
129,130,245,380,74
130,131,244,541,72
131,132,312,544,94
132,133,287,528,84
133,134,20,33,18
134,135,32,66,29
135,136,468,847,66
136,137,58,121,39
137,138,113,218,42
138,139,195,318,56
139,140,38,73,17
140,141,86,134,43
141,142,255,450,75
142,143,165,163,35
143,144,126,266,54
144,145,73,108,44
145,146,505,1043,113
146,147,41,91,35
147,148,272,560,80
148,149,77,125,39
149,150,242,465,66
150,151,116,249,40
151,152,88,215,55
152,153,31,57,26
153,154,55,85,37
154,155,406,745,73
155,156,71,154,57
156,157,49,111,10
157,158,30,61,21
158,159,544,1066,103
159,160,118,128,54
160,161,203,298,55
161,162,3,6,5
162,163,13,26,13
163,164,96,225,44
164,165,86,170,54
165,166,324,374,90
166,167,29,50,23
167,168,68,127,27
168,169,19,46,22
169,170,66,110,39
170,171,39,66,33
171,172,15,28,14
172,173,84,160,47
173,174,130,259,57
174,175,12,30,13
175,176,18,32,16
176,177,99,203,52
177,178,81,175,53
178,179,254,527,100
179,180,35,47,22
180,181,55,84,25
181,182,5,7,7
182,183,61,103,23
183,184,23,58,22
184,185,180,350,67
185,186,81,187,35
186,187,222,369,67
187,188,49,119,33
188,189,180,328,72
189,190,19,41,23
190,191,137,254,48
191,192,5,3,3
192,193,12,28,12
193,194,19,28,22
194,195,40,69,25
195,196,20,41,23
196,197,129,237,57
197,198,59,99,41
198,199,222,458,60
199,200,1,1,1
200,201,113,240,54
201,202,14,25,16
202,203,50,114,37
203,204,18,17,14
204,205,57,107,36
205,206,11,25,14
206,207,17,42,13
207,208,142,345,65
208,209,29,53,25
209,210,33,80,29
210,211,32,63,31
211,212,24,44,16
212,213,23,40,25
213,214,28,61,26
214,215,26,49,25
215,216,30,58,28
216,217,29,44,22
217,218,137,177,45
218,219,45,90,36
219,220,10,12,8
220,221,46,80,34
221,222,7,8,7
222,223,203,328,92
223,224,13,33,19
224,225,26,45,24
225,226,14,26,18
226,227,38,81,34
227,228,21,50,26
228,229,51,93,40
229,230,31,61,23
230,231,88,194,49
231,232,43,74,20
232,233,119,201,76
233,234,31,65,28
234,235,14,34,28
235,236,21,44,16
236,237,11,24,14
237,238,15,34,13
238,239,12,18,8
239,240,31,62,32
240,241,18,33,20
241,242,14,40,20
242,243,34,73,26
243,244,10,23,18
244,245,3,7,6
245,246,4,7,5
246,247,9,17,15
247,248,3,7,4
248,249,5,10,9
249,250,1,1,1
250,251,10,15,10
251,252,4,7,5
252,253,5,5,5
253,254,4,8,7
254,255,15,29,25
255,256,1,4,4
256,257,2,4,4
257,258,10,19,10
258,259,11,22,19
259,260,1,2,2
260,261,4,6,4
261,262,1,1,1
262,263,2,3,3
263,264,8,20,12
264,265,1,4,4
265,266,31,67,30
266,267,7,18,14
267,268,1,4,4
268,269,1,4,4
