,tag,ct,cotag,cotag_u
0,1,84,179,47
1,2,344,780,132
2,3,122,258,89
3,4,396,741,108
4,5,137,314,63
5,6,310,644,138
6,7,375,666,129
7,8,35,73,41
8,9,401,881,221
9,10,2456,4516,436
10,11,1679,3167,343
11,12,150,309,78
12,13,60,127,45
13,14,63,110,61
14,15,43,87,56
15,16,12,30,19
16,17,9,11,7
17,18,21,23,16
18,19,690,1371,227
19,20,102,204,67
20,21,81,197,68
21,22,515,1014,160
22,23,603,1302,285
23,24,732,1550,255
24,25,44,100,57
25,26,9,24,15
26,27,125,280,80
27,28,102,165,76
28,29,36,70,52
29,30,259,505,168
30,31,2137,3964,416
31,32,142,310,98
32,33,105,231,66
33,34,51,98,50
34,35,21,52,26
35,36,20,26,17
36,37,22,56,30
37,38,261,482,164
38,39,154,287,100
39,40,335,768,162
40,41,24,56,37
41,42,299,597,146
42,43,257,441,131
43,44,81,156,69
44,45,26,63,30
45,46,161,323,128
46,47,191,385,92
47,48,31,66,27
48,49,98,179,59
49,50,113,206,121
50,51,48,72,44
51,52,41,75,45
52,53,27,40,23
53,54,86,147,49
54,55,669,1189,245
55,56,45,98,36
56,57,140,315,86
57,58,38,63,42
58,59,110,252,71
59,60,83,122,64
60,61,37,68,31
61,62,54,95,49
62,63,3,4,4
63,64,174,332,128
64,65,101,187,83
65,66,606,1296,260
66,67,213,419,124
67,68,196,414,103
68,69,71,136,72
69,70,74,132,74
70,71,10,17,14
71,72,201,324,107
72,73,87,194,78
73,74,12,26,15
74,75,99,195,83
75,76,208,401,119
76,77,76,170,68
77,78,27,59,38
78,79,26,39,25
79,80,15,27,20
80,81,8,17,11
81,82,27,53,35
82,83,25,48,34
83,84,11,25,17
84,85,24,41,26
85,86,2,4,4
86,87,81,155,84
87,88,42,92,58
88,89,39,79,46
89,90,65,147,81
90,91,8,18,13
91,92,87,166,61
92,93,47,116,37
93,94,23,42,30
94,95,36,80,40
95,96,227,503,119
96,97,72,157,86
97,98,15,40,28
98,99,268,492,114
99,100,92,203,94
100,101,301,590,176
101,102,10,20,8
102,103,2348,4548,425
103,104,26,47,30
104,105,11,23,17
105,106,42,86,35
106,107,22,46,31
107,108,22,55,40
108,109,35,69,35
109,110,22,30,27
110,111,166,339,116
111,112,181,341,125
112,113,58,106,60
113,114,241,428,117
114,115,336,729,175
115,116,8,10,10
116,117,6,16,5
117,118,1662,3214,351
118,119,51,95,44
119,120,12,26,22
120,121,6,6,6
121,122,3,6,4
122,123,221,382,110
123,124,103,226,93
124,125,43,78,28
125,126,11,18,13
126,127,111,244,102
127,128,4,9,8
128,129,75,108,54
129,130,14,20,13
130,131,36,61,38
131,132,10,18,17
132,133,313,562,142
133,134,11,23,18
134,135,17,31,23
135,136,82,163,51
136,137,51,118,47
137,138,75,146,64
138,139,46,81,39
139,140,9,16,14
140,141,32,70,45
141,142,2,5,5
142,143,96,195,64
143,144,31,54,27
144,145,18,9,8
145,146,18,21,17
146,147,59,127,53
147,148,94,195,72
148,149,61,114,50
149,150,39,96,53
150,151,11,26,21
151,152,119,243,72
152,153,673,1231,236
153,154,297,566,136
154,155,32,75,51
155,156,34,66,27
156,157,9,14,14
157,158,12,28,20
158,159,47,98,44
159,160,66,153,51
160,161,16,38,20
161,162,308,625,151
162,163,31,84,31
163,164,97,245,98
164,165,142,317,105
165,166,2,5,4
166,167,8,19,10
167,168,4,13,8
168,169,20,49,27
169,170,152,292,85
170,171,30,61,50
171,172,19,47,27
172,173,5,12,11
173,174,8,20,17
174,175,5,14,10
175,176,2,4,4
176,177,3,8,8
177,178,108,209,69
178,179,24,56,31
179,180,4,8,8
180,181,8,14,10
181,182,9,16,10
182,183,16,35,22
183,184,82,179,47
184,185,87,202,70
185,186,453,1022,180
186,187,67,164,70
187,188,76,182,61
188,189,4,5,5
189,190,524,1123,207
190,191,47,123,39
191,192,79,187,63
192,193,25,61,30
193,194,5,12,6
194,195,60,143,84
195,196,510,1077,176
196,197,257,628,132
197,198,178,403,117
198,199,41,90,56
199,200,20,48,26
200,201,67,146,40
201,202,60,123,61
202,203,30,81,33
203,204,5,12,9
204,205,8,20,17
205,206,60,119,51
206,207,21,42,22
207,208,11,20,14
208,209,12,15,14
209,210,286,563,160
210,211,28,66,47
211,212,14,31,15
212,213,46,84,42
213,214,10,8,8
214,215,8,12,10
215,216,10,24,15
216,217,35,73,47
217,218,18,36,26
218,219,21,42,36
219,220,18,45,34
220,221,22,58,25
221,222,475,1032,245
222,223,8,19,13
223,224,62,127,47
224,225,212,439,127
225,226,6,9,7
226,227,5,8,7
227,228,16,39,26
228,229,9,25,15
229,230,246,519,161
230,231,10,20,13
231,232,124,291,110
232,233,13,32,19
233,234,11,20,19
234,235,23,56,37
235,236,14,30,19
236,237,18,43,32
237,238,44,94,33
238,239,27,49,28
239,240,42,99,62
240,241,21,42,29
241,242,26,46,25
242,243,98,184,64
243,244,13,34,21
244,245,35,66,29
245,246,41,71,39
246,247,69,141,64
247,248,4,9,8
248,249,22,53,35
249,250,92,211,59
250,251,54,98,56
251,252,23,52,32
252,253,7,8,6
253,254,14,36,22
254,255,18,36,27
255,256,96,200,73
256,257,10,22,17
257,258,18,24,18
258,259,47,99,44
259,260,17,39,25
260,261,11,20,15
261,262,19,36,17
262,263,3,3,3
263,264,94,184,72
264,265,49,109,52
265,266,28,45,28
266,267,23,48,29
267,268,48,109,53
268,269,49,107,51
269,270,52,114,62
270,271,113,233,65
271,272,230,517,131
272,273,12,21,12
273,274,3,5,5
274,275,30,64,31
275,276,31,58,32
276,277,89,169,74
277,278,8,15,10
278,279,22,58,38
279,280,55,129,54
280,281,3,4,3
281,282,8,23,12
282,283,103,250,83
283,284,37,86,38
284,285,2,2,2
285,286,547,1109,212
286,287,93,237,82
287,288,32,62,43
288,289,12,13,11
289,290,26,57,24
290,291,13,30,24
291,292,100,189,68
292,293,211,402,109
293,294,24,64,40
294,295,4,6,5
295,296,10,33,19
296,297,8,26,19
297,298,47,101,42
298,299,21,45,23
299,300,625,1010,196
300,301,252,442,84
301,302,49,86,47
302,303,25,58,37
303,304,12,8,8
304,305,9,17,14
305,306,58,124,62
306,307,18,44,29
307,308,10,14,10
308,309,41,85,54
309,310,46,103,48
310,311,3,10,8
311,312,60,144,52
312,313,71,146,60
313,314,24,48,34
314,315,14,35,20
315,316,28,63,24
316,317,6,16,12
317,318,45,102,42
318,319,19,50,25
319,320,15,25,19
320,321,42,92,56
321,322,145,283,99
322,323,21,39,18
323,324,99,242,73
324,325,66,137,48
325,326,12,30,17
326,327,20,32,24
327,328,6,12,10
