,t1,t2,ct
0,1,2,79
1,1,3,70
2,1,4,24
3,1,5,2
4,1,7,3
5,1,8,1
6,1,12,1
7,1,13,122
8,1,14,112
9,1,15,39
10,1,16,13
11,1,17,2
12,1,18,31
13,1,19,14
14,1,20,7
15,1,21,30
16,1,23,1
17,1,24,77
18,1,25,1
19,1,26,1
20,1,27,29
21,1,28,3
22,1,29,92
23,1,30,20
24,1,31,23
25,1,32,34
26,1,33,9
27,1,34,1
28,1,35,1
29,1,36,8
30,1,37,2
31,1,38,16
32,1,39,4
33,1,40,4
34,1,41,4
35,1,42,1
36,1,45,174
37,1,46,21
38,1,47,14
39,1,48,1
40,1,50,2
41,1,51,4
42,1,52,15
43,1,53,2
44,1,54,1
45,1,55,14
46,1,56,5
47,1,57,14
48,1,58,2
49,1,60,2
50,1,61,25
51,1,62,11
52,1,63,32
53,1,64,18
54,1,65,3
55,1,66,7
56,1,68,1
57,1,69,4
58,1,70,2
59,1,71,3
60,1,72,1
61,1,73,1
62,1,74,12
63,1,75,8
64,1,76,4
65,1,77,4
66,1,79,7
67,1,82,1
68,1,83,1
69,1,84,15
70,1,85,2
71,1,86,1
72,1,87,10
73,1,88,4
74,1,90,2
75,1,91,43
76,1,92,2
77,1,93,5
78,1,94,2
79,1,95,4
80,1,96,9
81,1,98,1
82,1,99,9
83,1,100,1
84,1,101,14
85,1,102,2
86,1,103,3
87,1,105,4
88,1,106,4
89,1,107,8
90,1,108,4
91,1,109,2
92,1,110,5
93,1,112,1
94,1,113,6
95,1,114,2
96,1,115,7
97,1,116,6
98,1,117,3
99,1,118,12
100,1,121,4
101,1,122,2
102,1,123,8
103,1,124,4
104,1,125,4
105,1,126,2
106,1,127,1
107,1,128,1
108,1,129,9
109,1,130,2
110,1,131,12
111,1,132,3
112,1,133,66
113,1,134,1
114,1,136,4
115,1,137,2
116,1,138,1
117,1,139,3
118,1,140,1
119,1,141,2
120,1,142,14
121,1,145,2
122,1,146,3
123,1,148,1
124,1,153,1
125,1,154,12
126,1,156,1
127,1,157,2
128,1,159,15
129,1,160,6
130,1,161,2
131,1,162,4
132,1,163,1
133,1,165,1
134,1,167,6
135,1,173,5
136,1,174,7
137,1,175,2
138,1,176,1
139,1,177,1
140,1,178,4
141,1,179,3
142,1,181,5
143,1,183,1
144,1,186,7
145,1,187,4
146,1,190,1
147,1,192,1
148,1,193,1
149,1,195,2
150,1,196,1
151,1,198,1
152,1,199,3
153,1,200,1
154,1,202,4
155,1,203,1
156,1,206,1
157,1,207,3
158,1,208,2
159,1,209,9
160,1,211,1
161,1,212,2
162,1,214,1
163,1,215,1
164,1,216,1
165,1,218,3
166,1,219,3
167,1,220,4
168,1,221,13
169,1,222,2
170,1,223,1
171,1,225,2
172,1,226,1
173,1,227,1
174,1,229,1
175,1,230,2
176,1,231,3
177,1,232,2
178,1,239,11
179,1,240,1
180,1,241,1
181,1,242,1
182,1,243,1
183,1,245,3
184,1,247,1
185,1,248,4
186,1,253,3
187,1,254,8
188,1,255,12
189,1,256,1
190,1,258,1
191,1,259,1
192,1,261,2
193,1,266,1
194,1,268,7
195,1,269,1
196,1,270,1
197,1,272,8
198,1,276,5
199,1,277,3
200,1,280,3
201,1,282,2
202,1,289,1
203,1,290,2
204,1,296,1
205,1,297,2
206,1,299,3
207,1,302,1
208,1,305,2
209,1,306,2
210,1,309,3
211,1,310,2
212,1,313,1
213,1,315,3
214,1,317,1
215,1,318,3
216,1,321,1
217,1,325,1
218,1,328,2
219,1,330,1
220,1,333,2
221,1,337,1
222,1,338,1
223,1,340,1
224,1,342,2
225,1,343,2
226,1,346,2
227,1,347,1
228,1,348,1
229,1,349,3
230,1,350,1
231,1,351,2
232,1,352,2
233,1,356,6
234,1,360,1
235,1,363,2
236,1,372,1
237,1,375,1
238,1,380,1
239,1,391,1
240,1,395,1
241,1,404,1
242,1,424,1
243,1,454,1
244,1,456,1
245,1,457,1
246,2,3,35
247,2,4,6
248,2,5,7
249,2,7,2
250,2,8,3
251,2,13,41
252,2,14,107
253,2,15,21
254,2,16,5
255,2,18,19
256,2,19,8
257,2,20,1
258,2,21,4
259,2,24,16
260,2,27,24
261,2,29,6
262,2,30,30
263,2,31,8
264,2,32,2
265,2,33,2
266,2,36,1
267,2,37,3
268,2,38,9
269,2,39,1
270,2,41,2
271,2,45,31
272,2,47,1
273,2,50,1
274,2,51,1
275,2,52,6
276,2,54,9
277,2,55,11
278,2,61,2
279,2,62,3
280,2,63,19
281,2,69,3
282,2,72,4
283,2,74,1
284,2,75,1
285,2,77,2
286,2,78,1
287,2,79,4
288,2,83,2
289,2,84,5
290,2,88,3
291,2,91,7
292,2,92,7
293,2,93,7
294,2,95,2
295,2,96,2
296,2,99,4
297,2,101,10
298,2,102,1
299,2,103,1
300,2,105,5
301,2,106,2
302,2,107,6
303,2,108,4
304,2,109,1
305,2,110,3
306,2,112,1
307,2,113,1
308,2,115,2
309,2,117,1
310,2,118,6
311,2,123,3
312,2,125,3
313,2,128,1
314,2,129,1
315,2,131,3
316,2,132,1
317,2,133,26
318,2,134,1
319,2,135,1
320,2,136,2
321,2,137,4
322,2,139,3
323,2,143,4
324,2,146,3
325,2,148,3
326,2,150,1
327,2,154,1
328,2,156,2
329,2,160,2
330,2,161,5
331,2,163,1
332,2,165,1
333,2,166,2
334,2,167,3
335,2,174,2
336,2,175,7
337,2,177,4
338,2,182,1
339,2,186,6
340,2,192,1
341,2,193,3
342,2,201,1
343,2,204,2
344,2,207,1
345,2,208,3
346,2,214,1
347,2,216,1
348,2,220,2
349,2,221,5
350,2,223,2
351,2,227,3
352,2,231,1
353,2,232,5
354,2,235,2
355,2,239,26
356,2,244,1
357,2,245,1
358,2,248,2
359,2,253,1
360,2,254,1
361,2,255,9
362,2,261,1
363,2,263,1
364,2,266,1
365,2,268,4
366,2,270,2
367,2,272,1
368,2,273,1
369,2,277,3
370,2,280,1
371,2,288,1
372,2,297,5
373,2,301,1
374,2,305,1
375,2,306,4
376,2,309,3
377,2,313,5
378,2,315,1
379,2,317,2
380,2,318,1
381,2,319,2
382,2,322,2
383,2,325,1
384,2,326,2
385,2,332,1
386,2,343,3
387,2,348,1
388,2,350,1
389,2,357,2
390,2,372,2
391,2,373,1
392,2,374,1
393,2,379,1
394,2,383,1
395,2,420,1
396,3,4,5
397,3,7,1
398,3,13,201
399,3,14,74
400,3,15,26
401,3,16,2
402,3,18,14
403,3,19,6
404,3,20,2
405,3,21,30
406,3,24,15
407,3,26,1
408,3,27,7
409,3,29,7
410,3,30,11
411,3,31,4
412,3,32,1
413,3,33,20
414,3,36,1
