,t1,t2,ct
0,1,2,676
1,1,3,192
2,1,4,45
3,1,5,57
4,1,6,10
5,1,7,17
6,1,8,4
7,1,9,11
8,1,10,6
9,1,11,1
10,1,12,2
11,1,13,556
12,1,14,39
13,1,15,20
14,1,16,120
15,1,17,3
16,1,18,70
17,1,19,59
18,1,20,23
19,1,21,4
20,1,22,5
21,1,23,281
22,1,25,70
23,1,26,10
24,1,27,5
25,1,28,10
26,1,29,8
27,1,30,2
28,1,31,19
29,1,32,106
30,1,33,3
31,1,34,4
32,1,35,17
33,1,36,14
34,1,37,31
35,1,38,4
36,1,39,1
37,1,40,112
38,1,41,4
39,1,42,4
40,1,43,5
41,1,47,1
42,1,48,3
43,1,49,4
44,1,50,3
45,1,51,6
46,1,52,32
47,1,53,32
48,1,54,10
49,1,55,14
50,1,56,13
51,1,57,6
52,1,58,5
53,1,59,9
54,1,60,180
55,1,61,5
56,1,62,13
57,1,63,90
58,1,64,44
59,1,65,126
60,1,66,2
61,1,67,2
62,1,68,4
63,1,69,34
64,1,70,13
65,1,72,13
66,1,73,3
67,1,74,11
68,1,75,22
69,1,76,3
70,1,77,43
71,1,78,8
72,1,79,7
73,1,80,2
74,1,81,4
75,1,82,51
76,1,83,9
77,1,84,5
78,1,85,1
79,1,86,6
80,1,87,45
81,1,88,7
82,1,89,41
83,1,90,3
84,1,93,2
85,1,94,11
86,1,95,5
87,1,96,1
88,1,97,51
89,1,98,7
90,1,99,7
91,1,100,8
92,1,101,3
93,1,102,3
94,1,103,12
95,1,105,7
96,1,107,146
97,1,108,37
98,1,109,13
99,1,110,3
100,1,111,7
101,1,112,175
102,1,113,6
103,1,114,8
104,1,115,2
105,1,116,3
106,1,117,3
107,1,118,27
108,1,119,34
109,1,120,36
110,1,121,9
111,1,122,5
112,1,123,2
113,1,124,14
114,1,125,16
115,1,126,14
116,1,127,4
117,1,128,4
118,1,129,27
119,1,130,9
120,1,132,64
121,1,134,7
122,1,135,29
123,1,136,14
124,1,137,5
125,1,138,7
126,1,139,3
127,1,140,7
128,1,141,2
129,1,142,3
