,t1,t2,ct
0,1,2,12
1,1,3,1
2,1,4,2
3,1,5,6
4,1,7,3
5,1,8,13
6,1,9,2
7,1,10,3
8,1,11,16
9,1,12,6
10,1,13,2
11,1,15,5
12,1,16,1
13,1,18,4
14,1,20,12
15,1,21,4
16,1,22,1
17,1,23,8
18,1,24,3
19,1,26,16
20,1,27,1
21,1,29,4
22,1,31,4
23,1,32,1
24,1,33,2
25,1,34,1
26,1,37,6
27,1,39,23
28,1,41,1
29,1,42,1
30,1,43,1
31,1,44,6
32,1,45,2
33,1,47,1
34,1,48,13
35,1,50,4
36,1,53,1
37,1,54,5
38,1,55,1
39,1,56,3
40,1,57,3
41,1,58,4
42,1,62,1
43,1,63,1
44,1,65,4
45,1,67,1
46,1,68,2
47,1,72,1
48,1,76,1
49,1,77,1
50,1,80,1
51,1,81,2
52,1,84,1
53,1,86,3
54,1,87,3
55,1,88,2
56,1,90,2
57,1,93,56
58,1,94,3
59,1,98,1
60,1,101,4
61,1,102,1
62,1,104,1
63,1,105,2
64,1,106,1
65,1,112,1
66,1,114,1
67,1,115,5
68,1,117,7
69,1,122,2
70,1,123,1
71,1,125,2
72,1,126,2
73,1,128,1
74,1,129,4
75,1,130,1
76,1,131,1
77,1,135,5
78,1,139,4
79,1,140,1
80,1,141,1
81,1,142,1
82,1,146,3
83,1,147,45
84,1,152,2
85,1,154,2
86,1,159,1
87,1,161,1
88,1,162,25
89,1,166,1
90,1,168,1
91,1,172,2
92,1,173,1
93,1,177,1
94,1,178,2
95,1,181,10
96,1,183,1
97,1,184,1
98,1,189,2
99,1,191,1
100,1,193,2
101,1,195,1
102,1,196,1
103,1,200,1
104,1,201,4
105,1,203,1
106,1,204,1
107,1,205,1
108,1,212,1
109,1,213,4
110,1,218,2
111,1,225,6
112,2,3,1
113,2,4,1
114,2,5,11
115,2,8,7
116,2,10,1
117,2,23,2
118,2,24,1
119,2,26,2
120,2,27,2
121,2,31,1
122,2,37,1
123,2,39,1
124,2,44,1
125,2,48,5
126,2,50,1
127,2,54,1
128,2,58,2
129,2,78,1
130,2,138,1
131,2,147,2
132,2,183,1
133,2,213,11
134,3,5,4
135,3,19,3
136,3,90,1
137,4,5,465
138,4,6,1
139,4,7,4
140,4,8,21
141,4,9,2
142,4,10,3
143,4,11,13
144,4,12,3
145,4,13,8
146,4,15,13
147,4,16,1
148,4,18,2
149,4,19,2
150,4,22,4
151,4,23,21
152,4,24,16
153,4,25,5
154,4,26,21
155,4,27,5
156,4,29,1
157,4,30,2
158,4,32,6
159,4,33,1
160,4,35,1
161,4,37,93
162,4,38,1
163,4,39,146
164,4,42,3
165,4,44,4
166,4,45,4
167,4,48,4
168,4,50,4
169,4,53,1
170,4,57,1
171,4,63,1
172,4,65,3
173,4,66,1
174,4,68,1
175,4,70,1
176,4,72,1
177,4,74,1
178,4,76,1
179,4,77,1
180,4,78,1
181,4,80,1
182,4,86,14
